🥲	0	rosto sorridente com lágrima	aliviada | chorar | contente | emocionado | face | felicidade | feliz | glad | grata | grateful | gratidão | happy | joy | lágrima | orgulhosa | pain | proud | relieved | rir | rosto sorridente com lágrima | smile | smiley | smiling | smiling face with tear | sorrir | tear | touched
😋	0	rosto saboreando comida	apetitoso | comida gostosa | delicioso | delicious | eat | face | face savoring food | food | full | gostoso | hungry | nham | rosto | rosto com sorriso | rosto saboreando | rosto saboreando comida | saboroso | savor | smile | smiling | sorriso | tasty | um | yum | yummy
😛	0	rosto mostrando a língua	awesome | cool | face | face with tongue | língua para fora | nice | party | rosto | rosto com língua para fora | rosto mostrando a língua | stuck-out | sweet | tongue
😜	0	rosto piscando e com língua para fora	brincadeira | crazy | epic | eye | face | funny | joke | loopy | língua para fora com piscadela | nutty | party | piscadela | piscando e mostrando a língua | provocação | rosto | rosto piscando e com língua para fora | stuck-out | tongue | wacky | weirdo | wink | winking | winking face with tongue | yolo
🤪	0	rosto bizarro	cara de maluco | crazy | doida | doido | excêntrico | eye | eyes | face | goofy | grande | large | louca | louco | olhar de maluco | olho | pequeno | rosto bizarro | small | zany | zany face
😝	0	rosto com olhos semicerrados e língua para fora	closed | eca | eye | eyes | face | gross | horrible | horrível | língua para fora | língua para fora com os olhos fechados | olhos fechados | omg | rosto | rosto com olhos semicerrados e língua para fora | squinting | squinting face with tongue | stuck-out | taste | tongue | whatever | yolo
🤑	0	rosto com cifrões	avarenta | caro | cifrão | dinheiro | face | ganância | grana | money | money-mouth | money-mouth face | mouth | paid | rica | riqueza | rosto com cifrões
🤗	0	rosto abraçando	abraço | carinho | face | feliz | hands | hug | hugging | mãos abraçando | open | rosto | rosto abraçando | rosto sorrindo | smiling | smiling face with open hands
🤭	0	rosto com a mão sobre a boca	face | face with hand over mouth | giggle | giggling | hand | hehe | mouth | oops | ops | realization | risadinha | risonho | rosto com a mão sobre a boca | secret | shock | sorriso envergonhado | sudden | surprise | vergonha | whoops
🫢	0	rosto com olhos abertos e mão sobre a boca	amazement | assustada | awe | chocada | descrença | disbelief | em choque | embarrass | espanto | eyes | face | face with open eyes and hand over mouth | gasp | hand | mouth | nossa | omg | open | over | passada | quiet | quieta | rosto com olhos abertos e mão sobre a boca | scared | shock | surpresa | surprise | temor
🫣	0	rosto com olho espiando	captivated | cativada | cativado | embarrass | envergonhada | envergonhado | esconder | espiadinha | espiando | espiar | eye | face | face with peeking eye | hide | hiding | olhar fixamente | peek | peeking | peep | rosto com olho espiando | scared | shy | smiley | stare | tímida | tímido | vergonha
🤫	0	rosto fazendo sinal de silêncio	face | faça silêncio | fica quieta | quiet | quieta | quieto | rosto fazendo sinal de silêncio | shh | shush | shushing | shushing face | silêncio
🤔	0	rosto pensativo	chin | consider | curiosa | curioso | dúvida | face | hmm | ideia | ideias | mão no queixo | pensando | pensativa | pensativo | ponder | pondering | rosto | rosto pensativo | thinking | thinking face | wondering
🫡	0	rosto saudando	OK | boa sorte | exército | face | good | luck | ma’am | ok | respect | respeito | rosto saudando | salute | saluting | saluting face | saudação | senhor | sim | sir | troops | tropa | yes
🤐	0	rosto com boca de zíper	boca fechada | calada | calado | face | keep | mouth | quiet | quieta | quieto | rosto | rosto com boca de zíper | secret | segredo | shut | zip | zipper | zipper-mouth | zipper-mouth face | zíper
🤨	0	rosto com sobrancelha levantada	ceticismo | confusa | confuso | cética | cético | desconfiada | desconfiado | desconfiança | disapproval | disbelief | distrust | emoji | eyebrow | face | face with raised eyebrow | hmm | mild | raised | rosto com sobrancelha levantada | skeptic | skeptical | skepticism | surprise | what
😐	0	rosto neutro	awkward | blank | deadpan | expressionless | face | fine | jealous | meh | neutral | neutral face | neutro | oh | putz | rosto | rosto neutro | rosto sem emoção | sem comentários | sem emoção | sem reação | shade | straight | unamused | unhappy | unimpressed | whatever
😑	0	rosto inexpressivo	aff | awkward | dead | expressionless | expressionless face | face | fine | inespressiva | inespressivo | inexpressive | jealous | meh | nada a dizer | not | oh | omg | rosto | rosto inexpressivo | sem comentários | sem expressão | straight | tanto faz | uh | unhappy | unimpressed | whatever
😶	0	rosto sem boca	awkward | blank | calada | calado | expressionless | face | face without mouth | mouth | mouthless | mute | quiet | quieto | rosto | rosto sem boca | secret | sem boca | sem comentários | sem palavras | silence | silent | speechless
🫥	0	rosto com linha pontilhada	depressed | deprimida | desaparecer | disappear | dotted | dotted line face | esconder | escondido | face | hidden | hide | indiferença | introvert | introvertido | invisible | invisível | line | meh | rosto com linha pontilhada | tanto faz | whatever | wtv
